fuzzer,domain,dns_a,dns_aaaa,dns_ns,dns_mx,geoip
*original,alimerka.es,82.223.212.132,,dns1.serv476456.servidoresdns.net,alimerka.es.s200a1.psmtp.com,Spain
bitsquatting,alimerca.es,!ServFail,!ServFail,!ServFail,,
dictionary,alimerkaonline.es,194.224.45.189,,dns10.servidoresdns.net,mx.serviciodecorreo.es,Spain
omission,alimera.es,208.91.197.27,,ns47.worldnic.com,,British Virgin Islands
subdomain,ali.merka.es,64.190.63.111,,ns1.sedoparking.com,localhost,Germany
tld-swap,alimerka.biz,!ServFail,!ServFail,!ServFail,,
tld-swap,alimerka.com,217.76.128.220,,dns1.serv476456.servidoresdns.net,,Spain
tld-swap,alimerka.info,82.223.212.132,,dns1.serv476456.servidoresdns.net,mx.serviciodecorreo.es,Spain
tld-swap,alimerka.net,!ServFail,!ServFail,!ServFail,,
tld-swap,alimerka.online,!ServFail,!ServFail,!ServFail,,
tld-swap,alimerka.org,!ServFail,!ServFail,!ServFail,,
